globalId,name,questionText,dataSourceShortText,dataSourceLinkLongText
1674,Refugee rise in selected countries,"In 2010 there were 1.5 million refugees living in Uganda, Bangladesh, Iran, Colombia, and Türkiye combined. What is the number in 2025?",Source: UNHCR,"[1] [Gapminder calculations using UNHCR data](https://docs.google.com/spreadsheets/d/1EUiB7M_TZp-qaNj0cvBt1Fs0ELEPNOb7oqjZrcCUwok/edit#gid=107289267)

[2] [UNHCR Global Trends](https://www.unhcr.org/global-trends)

[3] [Country Page Operation Pages for each country](https://reporting.unhcr.org/operational/operations)"
69,"Worldwide, what share of refugees have been in exile for more than four years?","Of all refugees worldwide, in 2024, what share had been in exile for more than four years?
",Source: UNHCR,"UNHCR defines a protracted refugee situation as one in which 25,000 or more refugees from the same nationality have been in exile for at least five consecutive years in a given host country. Therefore, it doesn’t include groups who may have been in exile for more than five years but whose numbers do not reach 25,000. Also, if people return home or new people join their countrymen in exile, they still count in the figures of those who are in exile, so the definition does not then take into account the situation of individual refugees. If we say that 25,000 people from one country have been in another country for 25 years, it doesn’t mean all of those 25,000 have been there that entire time.
Despite the limitations of the data, the four independent experts we spoke to considered it a good measure of long-term refugee situations and agreed that our correct answer was indeed correct.

[1]  [UNHCR - Mid-year trends 2024](https://www.unhcr.org/mid-year-trends-report-2024) 

[1]  [UNHCR data finder](https://www.unhcr.org/refugee-statistics/download/?url=sH5pnE) "
15,What share of the world's population are refugees?,What share of the world's population are international refugees?,Source: UNHCR,"The number we use of around 0.6% is correct as of June 2023. It was calculated by dividing the number of international refugees (46 million) with the total world population of 8 billion. The number of refugees we use also includes asylum seekers and Venezuelans displaced abroad. We used the highest estimate to make sure we are not underestimating the share of refugees. This 46 million also includes the 5.7 million Ukrainians who had fled the country at the time we wrote this update. We cross-checked these figures with a UNHCR expert who confirmed our correct answer is correct.

[1]  [UNHCR Figures at a glance](https://www.unhcr.org/figures-at-a-glance.html)  
[2]  [UN Population Prospects 2024](https://www.un.org/development/desa/pd/content/World-Population-Prospects-2024)
[3]  [UNRWA - United Nations Relief and Works Agency](https://www.unrwa.org/sites/default/files/content/resources/unrwa_in_figures_2020_eng_v2_final.pdf)
[4]  [UNHCR - Ukraine refugee data by year](https://www.unhcr.org/refugee-statistics/download/?url=6r9OTN) 
[5]  [UNHCR - Ukraine refugee situation](https://data2.unhcr.org/en/situations/ukraine) "
1663,Overqualified refugees,"Of all university-educated refugees in the EU who are employed, how many of them are overqualified for their jobs?",Source: OECD,"[1] [How are refugees faring on the labour market in Europe? 22 September 2016](https://migrant-integration.ec.europa.eu/library-document/how-are-refugees-faring-labour-market-europe_en) , states around 60%
[2] [Lighthouse Reports, Brain Waste Methodology — Explore brain waste among different immigrant groups](https://www.lighthousereports.com/methodology/brain_waste/), 2021 data for college educated population shows above 55% for most countries with data for asylum seekers, which are probably similar levels as refugees."
1676,compare refugee spendings in Europe vs World ,"In 2022, the UN spent around $6.4 billion to help refugees worldwide. How much did Western European governments spend to help refugees within West Europe?","Source: UNHCR and OECD, via Gapminder","For spending by Western European governments, $21 billion is the lowest estimate as that is only counting the money spent on refugees inside the donor country in the first year of arrival. In  some countries it probably represents most of the spending, but in others (like Belgium and Germany), these expenses are only a part of the spending, considering the amount of refugees that were helped and the comparably high living costs. In the spreadsheet below we compare data from OECD reports, Allocated Aid Money vs. Cost of living multiplied with the number of refugees, taking into consideration their employment rates. The cost-based calculation indicates that the true spending is probably closer to $29 billion. 

To get the UN spending Gapminder calculated the figure based on data from UNHCR, UNRWA and OECD.
The total spending by the UN is the sum of UNHCR and [UNRWA pledges](https://www.unrwa.org/sites/default/files/list_of_2022_pledges_by_all_donors.pdf)  reported in 2022, subtracting UNHCR’s spending on internally displaced people (IDP) as they are not international refugees. The UNHCR spent funding for 2022 (minus roughly 16% for IDP) was around $5 billion. UNRWA had two sources of income, pledges and [UN core funding to UNRWA](https://www.unrwa.org/sites/default/files/2020-2021_programme_budget_blue_book.pdf) : $1.17 billion + $0.033 bilion = $1.2 billion. This is approximately UN’s total resources to help refugees in 2022: 
$1.2 billion +$5.2 billion =$6.4 billion.  

[1]  [ OECD – International Migration Outlook 2022](https://www.oecd-ilibrary.org/sites/30fe16d2-en/1/3/4/index.html?itemId=/content/publication/30fe16d2-en&_csp_=97175d429ae5e4e04cd3cccbbfc84945&itemIGO=oecd&itemContentType=book#section-d1e53271) 
[2]  [OECD – ODA Levels in 2022](https://www.oecd.org/dac/financing-sustainable-development/ODA-2022-summary.pdf)     
[3]  [UNRWA – 2022 Pledges](https://www.unrwa.org/sites/default/files/list_of_2022_pledges_by_all_donors.pdf) 
[4]  [Gapminder calculations using various sources](https://docs.google.com/spreadsheets/d/1qIHXpLWGBO5y82mc_XcDLga6Q2GDSqxZRewRF_olQOY/edit#gid=1274366463)
[5] UNHCR [Funding UNHCR Programmes in 2022](https://reporting.unhcr.org/funding-unhcr-programmes-2022)
"
1662,Refugee right to work,"In 2023, what share of refugee-hosting countries allowed refugees the right to work?",Source: UNHCR,"[1]  [UNHCR – Global survey on livelihoods and economic inclusion report (December 2023)](https://www.unhcr.org/media/global-survey-livelihoods-and-economic-inclusion-report-december-2023)

[2]  [UNHCR – Refugee Livelihoods and Economic Inclusion - 2019-2023 Global Strategy Concept Note](https://www.unhcr.org/media/refugee-livelihoods-and-economic-inclusion-2019-2023-global-strategy-concept-note)"
92,Marine protected areas,"Since 2016, what has happened to the share of marine protected areas in national waters worldwide?",Source: WDPA,"The officially protected areas of ocean increased a lot, from 10.2% in 2016 to 19.2% in 2024 (an increase of 75%), according to the WDPA (World Database on Protected Areas[1]).

This data comes from many different governmental, international, national, and regional agencies and is collected by the WDPA. All data must meet the WDPA standards which includes having spatial data, and uses the IUCN definition of a protected area[2]:
“A protected area is a clearly defined geographical space, recognised, dedicated and managed, through legal or other effective means, to achieve the long term conservation of nature with associated ecosystem services and cultural values.”

While there has been a big increase in countries’ protected marine areas, the speed of growth is not the same for international water, beyond countries’ borders and interest zones. Such areas of international water cover around 60% of all oceans around the world. But, in total, no matter how you measure, the share of the ocean that is protected is clearly increasing.

We spoke to six individual experts who all recommended the WDPA as the source to use for this data. However, they did warn that just because the share of protected areas has increased it does not mean that the most important ecosystems or areas of biodiversity are included in these areas, or that the areas that are under protection are protected at a continually high standard. 

[1]  [World Protected Planet](https://www.protectedplanet.net/en/thematic-areas/marine-protected-areas)

[2]  [World Database on Protected Areas - Protected Panet Digital Report (chapter 2)](https://livereport.protectedplanet.net/pdf/Protected_Planet_Report_2018.pdf)

[3]  [IUCN - Protected Areas “about” page](https://www.iucn.org/theme/protected-areas/about#:~:text=A%20protected%20area%20is%20a,IUCN%20Definition%202008)

[4]  We consulted six independent experts for this question, including Joanne Preston of the University of Portsmouth and Peter Jones of University College London."
59,During the past 40 years the amount of oil and nat,During the past 40 years the total amount of oil and natural gas in known underground reserves:,Source: BP Statistical Review of World Energy,"The data we used comes from the BP Statistical Review of World Energy and it shows that known oil reserves in 2020 were 153% bigger than in 1980 and that natural gas reserves were 165% bigger in the same period. 

The term ""known reserves"" we use in this question is called ""proved reserves"" in the BP data. Proved (or known) reserves are  ""those quantities that geological and engineering information indicates with reasonable certainty can be recovered in the future from known reservoirs under existing economic and geological conditions."" There are more resources that are known about but, with the current technology, don't meet the criteria of ""proved reserves"" that can actually be used.

The data isn’t perfect as companies and governments may not always want to release all the details of their known reserves. However, three independent experts we consulted about this question said they recognized BP’s data as the best available and that the doubling of known reserves during the past 40 years is correct.

[1]  [Increase in oil and natural gas reserves since 1980. Data from BP Statistical Review of World Energy. Gapminder spreadsheet ](https://docs.google.com/spreadsheets/d/1K_NBgPwCf7iupitTQeIGG8fTsoJTLr0xW0pHXKmXCxw/edit#gid=0)  
[2]  [BP Statistical Review of World Energy](https://www.bp.com/en/global/corporate/energy-economics/statistical-review-of-world-energy/downloads.html)  
[3]  [Our World In Data - “How long before we run out of fossil fuels?”](https://ourworldindata.org/how-long-before-we-run-out-of-fossil-fuels)
[4]  We consulted three independent experts for this question, including Paul Behrens of Leiden University."
111,Aid from charity,"Of all financial aid received by the least developed countries, how much comes from charity and philanthropy?",Source: OECD,"This data comes from the OECD and tracks the flows of Official Development Assistance (ODA) from governmental agencies to countries who are eligible, on the OECD Development Assistance Committees list of countries. This list is updated every three years and is based upon per capita income.

OECD statistics are the only source of official, verified and comparable data on aid reported by 30 members of the OECD Development Assistance Committee (DAC) and about 80 other providers of development cooperation, including other countries, multilateral organizations and private foundations.

For private philantropies and charities, the OECD DAC statistics includes project-level information from 33 of the largest foundations working for development. These foundations report data on their grant making and programme-related investments (PRIs) for development following the same statistical standards and definitions as ODA.

In our calculations [2] we have imported the data on aid by different sectors (DAC & NON-DAC countries, private donors, charities & philanthropies) and total aid by recipient/destination. We then compiled aid given to the least developed countries and calculated the share of charities and philanthropies as a percentage of total aid.  

It is more difficult to track private aid than it is for aid supplied by governmental agencies, and this data only looks at the largest 33 private aid givers, so it is likely that not all private aid is accounted for in this data. 
Despite these issues, four independent experts we consulted on this question agreed that this OECD data was the best available.

[1]  [OECD](https://stats.oecd.org/Index.aspx?DataSetCode=DV_DCD_PPFD#) 

[2]  [Gapminder calculations using data from OECD](https://docs.google.com/spreadsheets/d/1NHGdIPHK3yNrpOPHsjfrWBjgXHgERYQwYgWSLKgn9w8/edit#gid=1523503229)"
62,What share of all workers worldwide are employed i,What share of all workers worldwide are employed in the manufacturing sector?,Source: International Labour Organization,"This data includes manufacturing of a wide range of things – everything from food and beverages, to clothes, cars and drugs. 

The highest share of workers employed in the manufacturing sector can be found in upper-middle-income countries where it is 18%, compared to low-income countries where it is only 6%. 

There is a high level of uncertainty in the data for countries where the ILO have used estimates due to a lack of recorded data. It likely misses people employed in the informal sector too. That lack of data about the informal sector means the actual share working in manufacturing is likely lower than 15%. 

The three independent experts we consulted for this question were confident in the ILO's estimates and that the two wrong answer options are not close to being correct.

[1]  [ILO - SDG indicator 9.2.2](https://rshiny.ilo.org/dataexplorer35/?lang=en&id=SDG_0922_NOC_RT_A)  
[2]  [ILO - A breakdown of what is included under the category of “manufacturing”](https://ilostat.ilo.org/resources/concepts-and-definitions/classification-economic-activities/)"
1499,Wars between states 1950 vs today,"In the 1950s, 50% of all wars occurred between countries that are recognized as sovereign states by the UN. What is that number today?",Source: Uppsala Conflict Data Program,"The data comes from the Uppsala Conflict Data Program which looks at 'State-based' conflicts, which it defines as: “a contested incompatibility that concerns government and/or territory where the use of armed force between two parties, of which at least one is the government of a state, results in at least 25 battle-related deaths in a calendar year.” Since the 1950s, the number of conflicts between states has declined, while the number of civil conflicts has increased a lot.

[1]  [Uppsala Conflict Data Program](https://ucdp.uu.se/downloads/)  
[2]  [Our World In Data - War and Peace](https://ourworldindata.org/war-and-peace)  
[3]  [UN – A New Era of Conflict and Violence](https://www.un.org/en/un75/new-era-conflict-and-violence)  "
1498,Vertebrates population sizes,"For all vertebrate species (animals with skeletons), how much did their wild populations decline on average during the past 50 years?",Source: Zoological School of London and WWF,"Counting animals is extremely difficult and only a tiny fraction of all known species have been counted. The figures we use for this question come from the WWF’s and ZSL's Living Planet Index and it looks at nearly 32,000 populations of 5,230 species between 1970 and 2018. The data comes from results published by others, as the Living Planet Index has none of its own data collectors. For that reason, the species and study areas are not fully representative of all vertebrate species or areas (e.g. there are a lot of birds surveyed and a lot of surveys in North America and Europe compared to other continents). The 69% average given is within an uncertainty range of between 63% and 75%. And, as discussed above, it is vital to recognize that figure is an average across all of the animals surveyed. Some will have declined more and some would have had an increasing number. Despite these shortcomings, two independent experts we consulted for this question consider the Living Planet Index as a reliable source and that our correct answer is the best figure available. 

The example of how to average out the declines was inspired by an example written in an article for The Atlantic by journalist Ed Yong. The piece is listed in the sources below.

[1]  [WWF – Living Planet Report 2022](https://wwfint.awsassets.panda.org/downloads/embargo_13_10_2022_lpr_2022_full_report_single_page_1.pdf) 
[2]  [The Atlantic - “Wait, Have We Really Wiped Out 60 Percent of Animals?” by Ed Yong, published on October 31, 2018](https://www.theatlantic.com/science/archive/2018/10/have-we-really-killed-60-percent-animals-1970/574549/)  
[3]  [Wildlife Comeback Report 2022](https://rewildingeurope.com/wildlife-comeback-report-2022/)  "
1521,Overfishing vs 1950,"When biologists started counting fish in the oceans in 1950, around 1% of existing fish stocks were overexploited. By 2019 this share was...",Source: FAO & Sea Around Us,"The FAO is widely respected by many experts, but critics do not like the fact that it comes directly from governments. Some, they say, may have reasons to adjust their figures, while others may not be able to provide very accurate estimates. That is where we get the figure of 35% from that we use in this question. One alternative is the Sea Around Us - a project from the university of British Columbia - which has been working to replace the “missing data” that exists in the FAO numbers, which they believe comes from unreported catch numbers. The Sea Around Us’ numbers are quite a bit higher than those reported by the FAO, but the trend when it comes to overfishing is very similar (actually higher today, at around 40-50%). The figure of 1% of fish stocks being overfished in the 1950s actually comes from the Sea Around Us, so we are confident it is not an underestimation (even though it doesn’t take into account fish stocks that may have been overfished in the decades before they started counting.)

[1]  [The State of World Fisheries and Aquaculture 2022](https://www.fao.org/3/cc0461en/cc0461en.pdf)  
[2]  [Sea Around Us](http://www.seaaroundus.org/data/#/global?chart=catch-chart&dimension=taxon&measure=tonnage&limit=10)  
"
1717,CO2 in Lower MIC vs HIC,"Countries with incomes like India, Morocco and Bolivia, emit how much CO2 per person, compared to high-income countries?",Source: Global Carbon Project ,"Gapminder has calculated the average of different income groups[1], based on data for Consumption Emissions of CO2 from the Global Carbon Project [2].
Those are consumption-based emissions in 2020, inventories allocate emissions to products that are consumed within a country and are conceptually calculated as the territorial emissions minus the “embodied” territorial emissions to produce exported products plus the emissions in other countries to produce imported products (consumption is equal to territorial minus exports plus imports). Million Tonnes of CO2 per capita 

We can also do the same calculation with Production CO2 emissions data from Climate Watch Historical GHG emissions via World Bank [3]. With these data, the lower-middle-income countries have an average of 1.5 tonnes per person, which is 83% lower than high-income Countries with 8.7 tonne per person.  

[1]  [Gapminder calculations from Global Carbon Project data](https://docs.google.com/spreadsheets/d/1VrwB6xdr9cWLX086jQGDdcTZ5z1noxRU-xmulO0SCfQ/edit#gid=1055424037)

[2]  [Global Carbon Project](https://www.icos-cp.eu/science-and-impact/global-carbon-budget/2021)

[3]  [Climate Watch Historical GHG emissions via World Bank](https://data.worldbank.org/indicator/EN.ATM.CO2E.PC?locations=XD-IN-BO-PH-MA)
"
1764,EU and US GHG emissions since 2000,What happened to CO2 emissions from the EU and USA since 2005?,Source: Global Carbon Budget,"
[1]  [Global Carbon Budget, via Our World In Data – Consumption-based CO₂ emissions](https://ourworldindata.org/grapher/consumption-co2-emissions?tab=chart&country=USA~European+Union+%2828%29)                         

[2]  [ Global Carbon Budget, via Our World In Data – Annual CO₂ emissions](https://ourworldindata.org/grapher/annual-co2-emissions-per-country?country=USA~European+Union+%2828%29)          
"
79,Future Megacity population,Megacities are cities with more than 10 million inhabitants. What share of the world's population is expected to live in megacities in 2030?,Source:  UN - World Urbanization Prospects 2018,"These numbers are projections, so of course they can’t be considered perfect. Things may change in the coming years, but it is unlikely that in the next decade tens of millions of people will move from smaller cities to big ones. According to the UN in 2020, 557 million people lived in 34 cities with more than 10 million inhabitants. That is7.1% of the world’s population of 7.8 billion. 

The UN estimate could potentially be a bit too low, as there is no international standard for defining city boundaries when counting citizens. If the more generous methods that include sparsely populated outskirts were used everywhere, then a few more cities would maybe qualify as megacities. Despite that legitimate concern, most cities are not even close to 10 million people. The UN projects that the number of megacities will grow from 34 to 43 by 2030, but the people living in them will still only make up 8.8% of the global population. The number of cities with more than one million inhabitants will at the same time increase from a total of 579 to 706.

Because of the uncertainty of projections, we put huge differences between the three answer options safe in the knowledge that the two wrong answers couldn’t possibly be correct unless there is an unprecedented migration of billions of people from small cities to large cities in the next 10 years.

[1]  [UN - World Urbanization Prospects 2018](https://population.un.org/wup/)  
[2]  [UN - The World’s Cities in 2018](https://www.un.org/en/events/citiesday/assets/pdf/the_worlds_cities_in_2018_data_booklet.pdf)  "
1758,Services as share of GDP,"Of all money earned in the world, how much comes from services, such as administration, banking, care, teaching, transport and entertainment?",Source: The World Bank,"
[1]  [The World Bank – Services, value added (% of GDP)](https://data.worldbank.org/indicator/NV.SRV.TOTL.ZS)        "
11,"In 1990, 58% of the world's population lived in lo","In 1990, 58% of the world's population lived in low-income countries. What is the share today?",Sources: World Bank & UN,"This is based on the World Bank’s definition[1] of low-income countries based on their Gross National Income (GNI) per capita. Countries belong to the group if their income falls below a specific threshold, which increases slightly over the years, almost keeping pace with the inflation of the US dollar.

In 1990, there were 53 countries below the threshold which was then $610. The total population of those countries was 3.1 billion, which was 58% of the world population of 5.3 billion, based on the population estimates from the UN Population Division[2]. In 2022, the threshold for being labeled as a low-income country had risen to $1,135 or less [3] when only 26 countries had average incomes below that, and their combined population was 0.7 billion people, which is 9% of the world population of 8 billion. 

There were 53 countries that were low-income in 1990. Today there are 26. Many countries have moved to a higher income but some dropped down to low-income from previously being middle-income countries (including Yemen and Syria).

The unit used for these GNI numbers is US Dollars converted from national currencies with the so-called Atlas method [4], which uses the average exchange rate of the three recent years. This method of converting currencies doesn’t account for price differences and purchasing power differences between countries. And national averages don’t express the income inequalities within countries which have been increasing in all these countries, as the income growth has been very unevenly distributed among the population. No matter what, a majority of people today have higher incomes than the majority in these countries had in 1990[5].

[1]  [Classifying countries by income, the World Bank](https://datatopics.worldbank.org/world-development-indicators/stories/the-classification-of-countries-by-income.html)  
[2]  [UN World Population Prospects](https://population.un.org/wpp/)  
[3]  [New country classifications by income level: 2019-2020, the World Bank](https://blogs.worldbank.org/opendata/new-world-bank-country-classifications-income-level-2021-2022)  
[4]  [World Bank Atlas Method](https://datahelpdesk.worldbank.org/knowledgebase/articles/378832-what-is-the-world-bank-atlas-method)  
[5]  [Gapminder Income Mountains](https://www.gapminder.org/fw/income-mountains/)"
