question_id,question_text,language,option_a,option_a_correctness,option_b,option_b_correctness,option_c,option_c_correctness,correct_answer
1758,在全世界赚到的所有钱中，有多少来自服务业，如行政、银行、护理、教学、交通和娱乐？,zh-CN,大约 30％,Very Wrong,大约 50%,Wrong,超过 60%,Correct,超过 60%
9,世界上使用的所有能源，有多少是来自于天然气、煤炭和石油？,zh-CN,约 42％,Very Wrong,约 62％,Wrong,约 82％,Correct,约 82％
1771,2000 年至 2020 年间，全球孕产妇死亡率（母亲在分娩时或分娩后不久死亡的比率）发生了什么变化？,zh-CN,下降了约 30%,Correct,下降了约 10%,Wrong,大致保持不变,Very Wrong,下降了约 30%
1770,1986 年，拥有核武器的国家储存了大约 64000 枚弹头。今天这个数字是多少？,zh-CN,少 80%,Correct,差不多,Wrong,多 50%,Very Wrong,少 80%
1768,2010 年至 2021 年间，有多少个国家的谋杀率有所下降？(共有 195 个国家）。,zh-CN,小于 15 个,Very Wrong,大约 50 个,Wrong,超过 85 个,Correct,超过 85 个
1767,与 30 年前相比，当今世界海洋中的微塑料污染大致为：,zh-CN,过去的 8 倍,Correct,过去的 80 倍,Wrong,过去的 800 倍,Very Wrong,过去的 8 倍
1766,自 1960 年以来，种植马铃薯、木薯、玉米、水稻和小麦的田地的平均粮食产量发生了什么变化？,zh-CN,减少到一半以下,Very Wrong,基本保持不变,Wrong,差不多翻倍,Correct,差不多翻倍
1765,与 2000 年相比，当前有多少动物、植物和真菌物种在野外得到了评估并被赋予保护地位？,zh-CN,多 7%,Very Wrong,多 70%,Wrong,多 700%,Correct,多 700%
1762,联合国阻止全球变暖的方案依赖于从大气中捕捉和储存碳的技术。其中有多少技术是我们现在已经可以负担得起和使用的呢？,zh-CN,少于 1%,Correct,大约 15％,Wrong,大约 30％,Very Wrong,少于 1%
1761,每年，太阳的能量（光和热）都会到达地球。与这些能量相比，每年有多少能量离开地球进入太空？,zh-CN,比到达的少 30%,Wrong,比到达的少 0.3%,Correct,比到达的多 30%,Very Wrong,比到达的少 0.3%
1760,高收入国家每人每年使用的原材料与中等收入国家相比怎样？,zh-CN,少 60%,Very Wrong,差不多,Wrong,多 60%,Correct,多 60%
1759,自 1850 年以来，欧洲和北美的碳排放量占总排放量的比例是多少？,zh-CN,大约 50%,Correct,大约 75％,Wrong,大约 90％,Very Wrong,大约 50%
1757,1900 年，全世界约有 40%的儿童在 5 岁前死亡。今天这个数字是多少？,zh-CN,大约 4%,Correct,大约 14%,Wrong,大约 24％,Very Wrong,大约 4%
1756,与世界上最贫穷的 50%人口相比，高收入国家的人口平均每人排放的二氧化碳量怎样？,zh-CN,差不多,Very Wrong,多 20%,Wrong,多 5 倍,Correct,多 5 倍
1755,全世界 6 至 11 岁的女孩中，有多少人上学？,zh-CN,少于 30%,Very Wrong,大约 60%,Wrong,大约 90％,Correct,大约 90％
1753,1950 年，有多少国家的奴隶仍然合法？（也就是没有法律禁止对他人的拥有权）,zh-CN,58,Very Wrong,98,Wrong,138,Correct,138
1749,如果我们今天停止所有碳排放（二氧化碳），大概需要多长时间大气中的二氧化碳浓度才能恢复到 1750 年的水平？,zh-CN,少于 100 年,Very Wrong,大约 500 年,Wrong,大于 1000 年,Correct,大于 1000 年
1747,在 2004 年全球排放的所有温室气体中，约有 1%需要缴纳某种碳税或碳费。2022 年的数字是多少？,zh-CN,大约 3％,Very Wrong,大约 13％,Wrong,大约 23％,Correct,大约 23％
1738,从 2015 年到 2021 年，世界人口每年增加 8000 万。在同一时期，能够用上电的人口每年增加多少？,zh-CN,约 1500 万,Very Wrong,约 4000 万,Wrong,约 1.2 亿,Correct,约 1.2 亿
1730,2021 年，在高收入国家，较贫穷的一半人口每人因燃烧化石燃料排放了大约 5 吨二氧化碳。而最富有的 10%人口每人排放了多少？,zh-CN,是较穷人口的一半,Very Wrong,是较穷人口的 2 倍,Wrong,是较穷人口的 8 倍,Correct,是较穷人口的 8 倍
1729_text,如果我们将世界人口分为三个收入组别，低于 2 美元/天的组别，介于 2 美元/天和 24 美元/天之间的组别，以及高于 24 美元/天的组别。哪个选项最能体现 2022 年各群体的规模？,zh-CN,"50% 少于 2 美元/天, 20% 在 2 美元/天 和 24 美元/天之间, 30% 大于 24 美元/天",Very Wrong,"30% 少于 2 美元/天, 40% 在 2 美元/天 和 24 美元/天之间, 30% 大于 24 美元/天",Wrong,"10% 少于 2 美元/天, 70% 在 2 美元/天 和 24 美元/天之间, 20% 大于 24 美元/天",Correct,"10% 少于 2 美元/天, 70% 在 2 美元/天 和 24 美元/天之间, 20% 大于 24 美元/天"
1728,如果我们今天停止排放温室气体，海平面还会继续上升多久？,zh-CN,大约 10 年,Very Wrong,大约 100 年,Wrong,超过 1000 年,Correct,超过 1000 年
1727,在全世界赚到的所有钱中，有多少来自工业、制造业和建筑业？,zh-CN,28%,Correct,38%,Wrong,53%,Very Wrong,28%
1725,在全球范围内，每天生活费不足 2.15 美元的人被称为生活在赤贫之中。在 40 个最富裕的国家中，国家贫困线大致是：,zh-CN,每天 5 美元,Very Wrong,每天 10 美元,Wrong,每天 20 美元,Correct,每天 20 美元
1724,2017 年底，在全球所有被关押的记者中，被关在俄罗斯、中国、伊朗、缅甸和白俄罗斯加起来约占 20%。2022 年这个数字是多少？,zh-CN,大约 23％,Very Wrong,大约 38％,Wrong,大约 53％,Correct,大约 53％
1723,因冲突、迫害或灾难而被迫逃离家园的人大多数迁往何处？,zh-CN,邻国,Wrong,留在自己的国家,Correct,高收入国家,Very Wrong,留在自己的国家
1722,自 1987 年达成限制消耗臭氧层物质的协议以来，已经有多少消耗臭氧层物质被淘汰了？,zh-CN,少于 40%,Very Wrong,大约 70％,Wrong,超过 95%,Correct,超过 95%
1720,在全世界范围内，有多少农村地区的人能够在离家 30 分钟的路程内获得安全饮用水？,zh-CN,少于 25%,Very Wrong,大约 50%,Wrong,超过 75%,Correct,超过 75%
1719,在所有国家中，有多大比例的国家制定了某种保护妇女免受家庭暴力的法律？,zh-CN,大约 25％,Very Wrong,大约 50%,Wrong,大约 75％,Correct,大约 75％
1717,人均收入与印度、摩洛哥和玻利维亚相近的国家，人均二氧化碳排放量和高收入国家相比怎样？,zh-CN,少 80%,Correct,少 40%,Wrong,多 20%,Very Wrong,少 80%
1716,在这些自由贸易区中，哪个包括的国家最多？,zh-CN,北美自由贸易协议,Very Wrong,非洲大陆自由贸易区,Correct,欧盟,Wrong,非洲大陆自由贸易区
1711,全世界大学教师中女性占多大比例？,zh-CN,大约 20%,Very Wrong,大约 30%,Wrong,大约 40%,Correct,大约 40%
1710,从家庭、企业和街道收集的废物中，食物和其他绿色废物（如割下来的草）所占的比例是多少？,zh-CN,大约 45％,Correct,大约 55%,Wrong,大约 65％,Very Wrong,大约 45％
1709,2022 年全球生活成本最高的十个城市有多少个在欧洲？,zh-CN,4,Correct,6,Wrong,9,Very Wrong,4
1708,在 2012 年和 2022 年之间，被恐怖主义者杀害而死亡的人数发生了什么变化？,zh-CN,减少 25%,Correct,差不多,Wrong,增加 25%,Very Wrong,减少 25%
1705,世界各地的慈善机构和政府都会向最不发达国家提供资金。比较两者的捐赠总额：,zh-CN,慈善机构的捐赠多出 20 倍,Very Wrong,政府的捐赠多出 20 倍,Correct,两者的捐赠数量大致相同,Wrong,政府的捐赠多出 20 倍
1703,在 194 个国家中，有多少个国家参加了世界卫生组织的某些儿童疫苗接种计划？,zh-CN,64,Very Wrong,114,Wrong,194,Correct,194
1702,全世界有多少凶杀案的受害者是男性？,zh-CN,大约 40％,Very Wrong,大约 60％,Wrong,大约 80％,Correct,大约 80％
1692,与 100 年前相比，今天美国的电费有多便宜？,zh-CN,差不多,Very Wrong,便宜 10 倍,Wrong,便宜 200 倍,Correct,便宜 200 倍
1690,移民人口在欧洲人口中占多大比例？,zh-CN,大约 12%,Correct,大约 22％,Wrong,大约 32％,Very Wrong,大约 12%
1689,在 2000 年全球使用的所有能源中，约 86% 来自燃烧化石燃料（石油、煤炭和天然气）。今天这个数字是多少？,zh-CN,大约 52％,Very Wrong,大约 64％,Wrong,大约 82％,Correct,大约 82％
1688,2020 年全球使用毒品（酒精或药物除外）的成年人比例是多少？,zh-CN,大约 5％,Correct,大约 25%,Wrong,大约 50%,Very Wrong,大约 5％
1687,美国人口占世界人口的 4%。在世界银行决定向贫穷国家提供发展贷款时，美国拥有多少投票权？,zh-CN,16%,Correct,36%,Wrong,56%,Very Wrong,16%
1686,政府有时会向外国公司出售土地。自 2009 年以来，全世界每年报告出售的土地总公顷数有什么变化？,zh-CN,减少到一半以下,Correct,大致保持不变,Wrong,加倍,Very Wrong,减少到一半以下
1685,在全球范围内，哪个地区的移动支付账户数量最多？,zh-CN,东亚和太平洋地区,Wrong,撒哈拉以南非洲,Correct,欧洲和中亚,Very Wrong,撒哈拉以南非洲
1683,在全球所有道路死亡事故中，发生在中低收入国家的占多大比例？,zh-CN,大约 50%,Very Wrong,大约 70％,Wrong,大约 90％,Correct,大约 90％
1682,自 1970 年以来，全球人均能源消耗量发生了什么变化？,zh-CN,基本保持不变,Wrong,上升了大约 50%,Correct,上升了大约 250%,Very Wrong,上升了大约 50%
1681,在低收入国家，小型家庭农场的平均收入是多少？,zh-CN,大约每天 1.50 美元,Correct,大约每天 5 美元,Wrong,大约每天 10 美元,Very Wrong,大约每天 1.50 美元
1671,联合国专家预计，未来 30 年，全球城市人口将增至 67 亿。他们认为农村人口会在这个时期里发生什么变化？,zh-CN,下降大约 10%,Correct,基本保持不变,Wrong,增长大约 10%,Very Wrong,下降大约 10%
1670,2022 年，全球约有 10%的人口生活在低收入国家。全球难民人口中有多大比例生活在那些国家？,zh-CN,少于 20%,Correct,35%左右,Wrong,超过 50%,Very Wrong,少于 20%
1669,在 195 个国家中，有多少国家禁止使用含铅汽油？,zh-CN,75 个国家,Very Wrong,135 个国家,Wrong,195 个国家,Correct,195 个国家
1663,2019 年在欧盟地区就业的受过大学教育的难民中，有多少人的受教育程度比职业要求的高？,zh-CN,大约 20％,Very Wrong,大约 40％,Wrong,大约 60％,Correct,大约 60％
1662,2018 年，有多大比例的难民收容国允许难民享有工作权？,zh-CN,大约 10％,Very Wrong,大约 30％,Wrong,大约 50%,Correct,大约 50%
1661,目前有多少难民生活在世界上最大的难民营中？,zh-CN,"大约 9,000",Very Wrong,"大约 90,000",Wrong,"大约 900,000",Correct,"大约 900,000"
1660,在全球最富有的 250 家公司中，有多少家已经制定了减少碳排放的目标？,zh-CN,大约 20%,Very Wrong,大约 50%,Wrong,大约 80%,Correct,大约 80%
1568,在全世界所有枪支中，平民拥有的比例是多少？,zh-CN,大约 25%,Very Wrong,大约 55%,Wrong,大约 85%,Correct,大约 85%
1567,联合国专家预计，从现在到 2050 年，世界 195 个国家中有多少国家的人口会减少？,zh-CN,10 个国家左右,Very Wrong,30 个国家左右,Wrong,50 个国家左右,Correct,50 个国家左右
1562,全世界有多少人口可以使用与下水道相连的厕所？,zh-CN,大约 40％,Correct,大约 55%,Wrong,大约 70％,Very Wrong,大约 40％
1560,世界上有多少婴儿是在医疗机构出生的？,zh-CN,大约 40%,Very Wrong,大约 60%,Wrong,大约 80％,Correct,大约 80％
1556,在全球范围内，有多少生活在农村地区的人能够用上一些电？,zh-CN,少于 30%,Very Wrong,大约 50%,Wrong,超过 70%,Correct,超过 70%
1553,在所有 25-29 岁的男性中，约有 90% 处于劳动力大军中（有工作或正在找工作）。女性的这一数字是多少？,zh-CN,大约 60％,Correct,大约 70％,Wrong,大约 80％,Very Wrong,大约 60％
1509,世界上有多少成年人说自己识字？,zh-CN,小于 40%,Very Wrong,大约 60%,Wrong,超过 80%,Correct,超过 80%
113,今世界有多大比例的人口生活在预期寿命短于 50 岁的国家（1960 年约为 55%）？,zh-CN,少于 1%,Correct,大约 30%,Wrong,大约 60%,Very Wrong,少于 1%
21,1980 年，世界上大约 40%的人口生活在极端贫困中，每天的生活费不足 2 美元。今天这个比例是多少？,zh-CN,10%,Correct,30%,Wrong,50%,Very Wrong,10%
37,全世界有多少 15 岁以下的儿童的阅读和数学能力没有达到最低技能要求？,zh-CN,20%,Very Wrong,40%,Wrong,60%,Correct,60%
1500,在全球范围内，女性从事的无偿护理和家务劳动多于男性。多多少？,zh-CN,多 50%,Very Wrong,一倍左右,Wrong,三倍左右,Correct,三倍左右
97,哪类动物的濒危物种比例最高？,zh-CN,鸟类,Wrong,哺乳动物,Very Wrong,两栖动物,Correct,两栖动物
1499,20 世纪 50 年代，50% 的战争发生在被联合国承认为主权国家的国家之间。今天这个数字是多少？,zh-CN,5% 左右,Correct,25% 左右,Wrong,55% 左右,Very Wrong,5% 左右
1502,联合国可持续发展目标共有 169 项具体目标。其中有多少项提到了“民主”？,zh-CN,0 项目标,Correct,14 项目标,Wrong,34 项目标,Very Wrong,0 项目标
64,2022 年全球使用互联网的人口比例是多少？,zh-CN,大约 60%,Correct,大约 75%,Wrong,大约 95%,Very Wrong,大约 60%
1517,现在的非洲儿童死亡人数与以下哪年的欧洲儿童死亡人数持平：,zh-CN,1850,Very Wrong,1900,Wrong,1950,Correct,1950
13,世界上有多少人口居住在特大城市（至少有 1000 万人口的城市）？,zh-CN,约 8％,Correct,约 28%,Wrong,约 48%,Very Wrong,约 8％
105,中收入和低收入国家在联合国大会成员国中占多大比例？,zh-CN,20% 左右,Very Wrong,45% 左右,Wrong,70% 左右,Correct,70% 左右
50,世界上有多少人能用上电？,zh-CN,小于 20%,Very Wrong,大约 50%,Wrong,大于 80%,Correct,大于 80%
12,世界上有多少人口没有足够的食物来满足他们的日常需要？,zh-CN,约 11％,Correct,约 23％,Wrong,约 37％,Very Wrong,约 11％
82,全球 250 家最富有的公司中，有多少家公司在其年度报告中将气候变化描述为一项风险？,zh-CN,约 10%,Very Wrong,约 30%,Wrong,约 60%,Correct,约 60%
81,从发现消耗臭氧层的物质到签署禁止使用这些物质的国际协定用了多少年？,zh-CN,14 年,Correct,24 年,Wrong,34 年,Very Wrong,14 年
71,如果以最富有的 10% 的人在所有收入中所占比例来衡量，世界上哪个地区的收入不平等程度最小？,zh-CN,中东,Very Wrong,欧洲,Correct,撒哈拉以南非洲,Wrong,欧洲
55,与 1980 年相比，现今太阳能电池板的能源成本大约是：,zh-CN,1980 年成本的 1%,Correct,1980 年成本的 21%,Wrong,1980 年成本的 41%,Very Wrong,1980 年成本的 1%
52,1990 年，世界上有 19% 的 65 岁及以上老年人仍在工作。预计 2030 年这一比例会是多少？,zh-CN,大约 21%,Correct,大约 41%,Wrong,大约 61%,Very Wrong,大约 21%
46,在世界范围内，有多少人没有任何形式的厕所，而不得不使用灌木丛、田野或街道？,zh-CN,大约 10%,Correct,大约 30%,Wrong,大约 50%,Very Wrong,大约 10%
33,2021 年全球有多少 1 岁儿童接种了某种疾病的疫苗？,zh-CN,20% 以下,Very Wrong,约 50%,Wrong,80% 以上,Correct,80% 以上
31,全世界有多少婴儿是在接受过训练的保健工作者在场的情况下出生的？,zh-CN,小于 30%,Very Wrong,大约 50%,Wrong,大于 80%,Correct,大于 80%
27,全世界有多少个国家在基因库中的保存了植物遗传材料？,zh-CN,小于 10 个,Very Wrong,大约 50 个,Wrong,大约 100 个,Correct,大约 100 个
1764,自 2005 年以来，欧盟和美国的二氧化碳排放量发生了什么变化？,zh-CN,都下降了 20%,Correct,都大致保持不变,Wrong,都增加了 20%,Very Wrong,都下降了 20%
1763,在全世界 195 个国家中，有多少国家的妇女没有选举权？,zh-CN,0,Correct,23,Wrong,46,Very Wrong,0
1748,在撒哈拉以南非洲地区，有多少女孩在 15 岁之前结婚？,zh-CN,大约 10％,Correct,大约 30％,Wrong,大约 50%,Very Wrong,大约 10％
1726,从 2001 年到今天，有多少国家从低收入国家晋升为中等收入国家？,zh-CN,小于 5,Very Wrong,大约 15,Wrong,大于 30,Correct,大于 30
1715,温室气体有什么作用？,zh-CN,污染大气,Very Wrong,吸收热量,Correct,反射光和热量,Wrong,吸收热量
1712,在 2023 年 3 月各国签署《公海条约》之前，约有 1%的国际海洋受到保护。新协议的目标是达到多少？,zh-CN,大约 5％,Very Wrong,大约 15％,Wrong,大约 30％,Correct,大约 30％
1707,如果目前的趋势继续下去，预计到 2100 年，世界上最大的城市将会在：,zh-CN,亚洲,Wrong,非洲,Correct,美洲,Very Wrong,非洲
17,世界上有多少国家制定了禁止工作场所性骚扰的法律？,zh-CN,大约 30%,Very Wrong,大约 50%,Wrong,大约 70%,Correct,大约 70%
1680,有多少个国家拥有环绕地球轨道的卫星？,zh-CN,约 15 个国家,Very Wrong,大约 40 个国家,Wrong,约 80 个国家,Correct,约 80 个国家
1653,在全球范围内，有多少工人从事未在政府登记的非正规工作（农业除外）？,zh-CN,约 20%,Very Wrong,约 40%,Wrong,约 60%,Correct,约 60%
1600,在全世界所有记录在案的凶杀案中，有多大比例与帮派和有组织犯罪有关？,zh-CN,大约 20%,Correct,大约 40%,Wrong,大约 60%,Very Wrong,大约 20%
1594,2022 年末，世界人口达到约 80 亿。有多少人会因为人道主义危机变成国际难民、寻求庇护者或者流落到其他国家和地区？,zh-CN,4600 万(0.6%),Correct,4.8 亿(6%),Wrong,7.2 亿(9%),Very Wrong,4600 万(0.6%)
1512,在全球范围内，过去 50 年里用于农业的土地面积发生了什么变化？,zh-CN,增加了 50%,Wrong,大致保持不变,Correct,减少了 50%,Very Wrong,大致保持不变
1511,非洲人吃的食物有多少产自非洲？,zh-CN,少于 20%,Very Wrong,约 50%,Wrong,超过 80%,Correct,超过 80%
98,如果计算世界上所有哺乳动物的总重量，大约有多少来自野生哺乳动物？,zh-CN,大约 5%,Correct,大约 25%,Wrong,大约 50%,Very Wrong,大约 5%
95,1990 年，全世界约有 9% 的儿童在五岁前死亡。现今这个数字是多少？,zh-CN,大约 4%,Correct,大约 9%,Wrong,大约 14%,Very Wrong,大约 4%
93,在 195 个国家中，有多少国家批准了 1982 年出台的联合国公约《海洋法》？,zh-CN,45 个国家,Very Wrong,105 个国家,Wrong,165 个国家,Correct,165 个国家
89,自 20 世纪 70 年代以来，全球每年油轮漏油的次数发生了什么变化？,zh-CN,减少到十分之一,Correct,几乎保持不变,Wrong,增加到 10 倍,Very Wrong,减少到十分之一
43,在 195 个国家中，有多少个国家未满 18 岁可以合法结婚？,zh-CN,19,Very Wrong,79,Wrong,139,Correct,139
3,在世界上的低收入国家里，有百分之多少的女孩（在疫情前）上学到至少十一岁？,zh-CN,大约 20％,Very Wrong,大约 40％,Wrong,大约 60％,Correct,大约 60％
24,世界上有多少人使用不产生烟雾的炉灶做饭？,zh-CN,大约 20%,Very Wrong,大约 40%,Wrong,大约 60%,Correct,大约 60%
2,在过去的一百年里，每年死于自然灾害的人数有什么变化？,zh-CN,增加一倍以上,Very Wrong,基本没有变化,Wrong,减少到一半以下,Correct,减少到一半以下
18,世界经济中有多少来自农业、林业和渔业？,zh-CN,大约 5%,Correct,大约 25%,Wrong,大约 45%,Very Wrong,大约 5%
1750,2000 年，全球约 50%的人口没有现代炉灶。他们只能靠烧木柴、木炭或粪便来烹饪食物。如今这一比例是多少？,zh-CN,大约 30％,Correct,大约 40%,Wrong,大约 50%,Very Wrong,大约 30％
1650,有多少国家的最高政治领导人是女性？,zh-CN,4 个左右,Very Wrong,12 个左右,Wrong,19 个左右,Correct,19 个左右
1611,当今世界有多少人口生活在中等收入国家？,zh-CN,25%左右,Very Wrong,50%左右,Wrong,75%左右,Correct,75%左右
1510,全世界 6 至 11 岁的儿童中，有多少人上学？,zh-CN,小于 25%,Very Wrong,大约 60%,Wrong,超过 85%,Correct,超过 85%
1504,世界人口中有多少生活在平均每个女性生育不到 3 个孩子的国家？,zh-CN,40%,Very Wrong,60%,Wrong,80%,Correct,80%
118,在过去 20 年中，生活在极端贫困中的人口比例...,zh-CN,减少一半以上,Correct,保持差不多不变,Wrong,接近翻倍,Very Wrong,减少一半以上
109,2000 年，中收入和低收入国家的贷款支出平均占其年收入的近 6%。2020 年这一数字是多少？,zh-CN,大约 4%,Correct,大约 8%,Wrong,大约 12%,Very Wrong,大约 4%
102,过去 10 年全球海盗袭击船只的次数发生了什么变化？,zh-CN,翻倍了,Very Wrong,没有大的变化,Wrong,减半了,Correct,减半了
62,全球所有工人中制造业工人的占比是多少？,zh-CN,约 15％,Correct,约 35％,Wrong,约 55％,Very Wrong,约 15％
70,在计算世界上的难民人数时，这个数字包括了那些……,zh-CN,逃往其他国家的人,Correct,逃往祖国其他地方的人,Very Wrong,以上两者都计算在内,Wrong,逃往其他国家的人
69,2022 年 12 月，在全球所有难民中，流亡时间超过四年的难民占多大比例？,zh-CN,小于 30%,Very Wrong,大约 45%,Wrong,超过 60%,Correct,超过 60%
66,世界上所有移民中，难民占多大比例？,zh-CN,大约 15%,Correct,大约 25%,Wrong,大约 35%,Very Wrong,大约 15%
65,在这些国家中，哪个国家收容的难民占其人口的比例最大？,zh-CN,德国,Wrong,黎巴嫩,Correct,瑞典,Very Wrong,黎巴嫩
80,自 1990 年以来，欧洲约有 200 万人因自然灾害而暂时无家可归。同期亚洲的数字是……,zh-CN,与欧洲大致相同,Very Wrong,欧洲的 5 倍,Wrong,欧洲的 50 倍,Correct,欧洲的 50 倍
1524,与 2000 年相比，2022 年全世界使用了多少化石燃料（石油、煤炭和天然气）？,zh-CN,95%（减少了一点）,Very Wrong,120%（增加了一点）,Wrong,145%（增加很多）,Correct,145%（增加很多）
86,在联合国承认的 195 个国家中，有多少国家采纳了关于气候变化和环境的《巴黎协定》？,zh-CN,92 个,Very Wrong,142 个,Wrong,192 个,Correct,192 个
1672,1990 年，全球约有 60% 的电力是用化石燃料生产的。今天这个数字是多少？,zh-CN,40%左右,Very Wrong,50%左右,Wrong,60%左右,Correct,60%左右
23,在高收入国家的所有 65 岁或以上人口中，有多少人生活在贫困线以下？,zh-CN,14%,Correct,29%,Wrong,44%,Very Wrong,14%
57,全世界有多少超过退休年龄的人有权领取养老金？,zh-CN,大约 25%,Very Wrong,大约 45%,Wrong,大约 75%,Correct,大约 75%
1678,2022 年，许多西欧国家政府为帮助新抵达的难民，为每个人每天花费超过 20 美元。 联合国在世界其他地方为每个难民平均每天花费多少钱？,zh-CN,大约 1 美元,Correct,大约 25 美元,Wrong,大约 45 美元,Very Wrong,大约 1 美元
96,2000 年至 2017 年间，全球新增结核病例数发生了什么变化？,zh-CN,增加了 20%,Very Wrong,几乎保持不变,Wrong,降低了 20%,Correct,降低了 20%
1640,在全球范围内，每天收入低于 2 美元被视为赤贫。北欧国家（瑞典、挪威、丹麦、芬兰、冰岛）的国家贫困线大致如下：,zh-CN,每天 10 美元,Very Wrong,每天 20 美元,Wrong,每天 30 美元,Correct,每天 30 美元
1676,2022 年，联合国花费了大约 64 亿美元来帮助全世界的难民。西欧各国政府为帮助西欧境内的难民花费了多少钱？,zh-CN,不到 30 亿美元,Very Wrong,大约 50 亿美元,Wrong,超过 200 亿美元,Correct,超过 200 亿美元
51,1950 年，0% 的能源消耗来自核能。今天这个数字是多少？,zh-CN,大约 5%,Correct,大约 25%,Wrong,大约 45%,Very Wrong,大约 5%
8,生物学家已经评估了超过 15 万种动植物的状况。有多少属于濒危或受威胁物种？,zh-CN,大约 30％,Correct,大约 60％,Wrong,大约 90％,Very Wrong,大约 30％
120,今年全世界预计会有多少天花病例？,zh-CN,零病例,Correct,十万病例,Wrong,一百万病例,Very Wrong,零病例
103,世界上有多少人说他们对当地警察有信心？,zh-CN,小于 15%,Very Wrong,25% 左右,Wrong,超过 50%,Correct,超过 50%
104,在过去 5 年中，哪一组国家派出的联合国维和部队最多？,zh-CN,德国，瑞典，荷兰，爱尔兰,Wrong,埃塞俄比亚，卢旺达，孟加拉国，印度，尼泊尔,Correct,法国，美国，日本，韩国，瑞士，英国,Very Wrong,埃塞俄比亚，卢旺达，孟加拉国，印度，尼泊尔
