question_id,question_text,language,option_a,option_a_correctness,correct_answer,option_b,option_b_correctness,option_c,option_c_correctness
1633,"70% of Europeans said they were planning to switch to a more environmentally friendly energy provider to fight climate change, in 2020. What was this number in China?",en-US,34%,Very Wrong,94%,64%,Wrong,94%,Correct
47,"Of all the freshwater used in the world, how much goes to agriculture?",en-US,Around 30%,Very Wrong,Around 70%,Around 50%,Wrong,Around 70%,Correct
46,"Worldwide, how many people have no toilet of any kind, and instead have to use bushes, fields or streets?",en-US,Roughly 10%,Correct,Roughly 10%,Roughly 30%,Wrong,Roughly 50%,Very Wrong
45,"Worldwide, how many people living in rural areas use surface water (such as lakes, rivers and streams) as their drinking water?",en-US,Less than 10%,Correct,Less than 10%,Around 30%,Wrong,More than 60%,Very Wrong
1626,How many people in the world have to make a round trip of more than 30 minutes to collect drinking water?,en-US,Around 10%,Correct,Around 10%,Around 25%,Wrong,Around 50%,Very Wrong
1689,"Of all energy used in the world in 2000, around 86% came from burning fossil fuels (oil, coal and gas). What is the number today?",en-US,Around 52%,Very Wrong,Around 82%,Around 64%,Wrong,Around 82%,Correct
1726,"Between 2001 and today, how many countries progressed from low-income to middle-income status?",en-US,Fewer than 5,Very Wrong,More than 30,Around 15,Wrong,More than 30,Correct
1646,"How much of all the money earned in low-income countries comes from agriculture, forestry and fishing?",en-US,Around 25%,Correct,Around 25%,Around 50%,Wrong,Around 75%,Very Wrong
62,What share of all workers worldwide are employed in the manufacturing sector?,en-US,Around 15%,Correct,Around 15%,Around 35%,Wrong,Around 55%,Very Wrong
1717,"Countries with incomes like India, Morocco and Bolivia, emit how much CO2 per person, compared to high-income countries?",en-US,80% less,Correct,80% less,40% less,Wrong,20% more,Very Wrong
1676,"In 2022, the UN spent around $6.4 billion to help refugees worldwide. How much did Western European governments spend to help refugees within West Europe?",en-US,Less than $3 billion,Very Wrong,More than $20 billion,Around $5 billion,Wrong,More than $20 billion,Correct
1589,"In 1990, 39% of the global labour force was female. What is this value today?",en-US,39%,Correct,39%,42%,Wrong,46%,Very Wrong
12,What share of the world’s population don't have enough food to meet their daily needs?,en-US,Around 11%,Correct,Around 11%,Around 23%,Wrong,Around 37%,Very Wrong
1616,How much of the economy of low-income countries comes from money transferred from citizens living abroad?,en-US,Roughly 6%,Correct,Roughly 6%,Roughly 26%,Wrong,Roughly 46%,Very Wrong
1754,"What is the official method for updating the list of countries called ""Developing countries""?",en-US,GDP per capita threshold,Wrong,There is no procedure,There is no procedure,Correct,Voting at the UN General Assembly,Very Wrong
1727,"Of all money earned in the world, how much comes from work in industry, manufacturing and construction?",en-US,28%,Correct,28%,38%,Wrong,53%,Very Wrong
1761,"Every year, energy from the sun (light and heat) reaches the earth. Compared to that energy, how much energy leaves the Earth out into space every year?",en-US,30% less than what comes in,Wrong,0.3% less than what comes in,0.3% less than what comes in,Correct,30% more than what comes in,Very Wrong
1760,How much raw material does each person in high-income countries use every year compared to those in middle-income countries?,en-US,60% less,Very Wrong,60% more,About the same,Wrong,60% more,Correct
1759,"Since 1850, what share of all carbon emissions have come from Europe and North America?",en-US,Around 50%,Correct,Around 50%,Around 75%,Wrong,Around 90%,Very Wrong
1758,"Of all money earned in the world, how much comes from services, such as administration, banking, care, teaching, transport and entertainment?",en-US,Around 30%,Very Wrong,More than 60%,Around 50%,Wrong,More than 60%,Correct
93,"How many countries have ratified the Law of the Sea, a UN convention introduced in 1982? (There are 195 countries.)",en-US,49 countries,Very Wrong,169 countries,109 countries,Wrong,169 countries,Correct
1498,"For all vertebrate species (animals with skeletons), how much did their wild populations decline on average during the past 50 years?",en-US,Around 10% decline,Very Wrong,Around 70% decline,Around 40% decline,Wrong,Around 70% decline,Correct
1521,"When biologists started counting fish in the oceans in 1950, around 1% of existing fish stocks were overexploited. By 2019 this share was...",en-US,...around 5%,Very Wrong,...more than 35%,...around 20%,Wrong,...more than 35%,Correct
1756,"The people in high income-income countries emit how much CO2 per person, on average, compared to the poorest 50% of the world population?",en-US,About the same,Very Wrong,Five times more,20% more,Wrong,Five times more,Correct
42,"Up to 1990, 18 countries in the world had been led by a female head of state or government. What is that number today?",en-US,37,Very Wrong,87,57,Wrong,87,Correct
1753,In how many countries was slavery still legal in 1950? (Meaning there was no law or constitution banning the ownership of another person.),en-US,58,Very Wrong,138,98,Wrong,138,Correct
92,"Since 2016, what has happened to the share of marine protected areas in national waters worldwide?",en-US,Decreased by about 75%,Very Wrong,Increased by about 75%,Stayed about the same,Wrong,Increased by about 75%,Correct
1722,"Since agreements were made in 1987 to limit ozone-depleting substances, how many have been phased out?",en-US,Less than 40%,Very Wrong,More than 95%,Around 70%,Wrong,More than 95%,Correct
106,How many people in the world feel safe walking alone at night where they live?,en-US,Less than 30%,Very Wrong,More than 60%,Around 45%,Wrong,More than 60%,Correct
97,What group of animals has the highest share of threatened species?,en-US,Birds,Wrong,Amphibians,Mammals,Very Wrong,Amphibians,Correct
103,How many people in the world say they have confidence in their local police?,en-US,Less than 15%,Very Wrong,More than 50%,Around 25%,Wrong,More than 50%,Correct
1677,"In 1990, people and governments gave $1.3 billion to UNHCR to help refugees across the world. How much was given in 2022? (UNHCR is the United Nations Refugee Agency. The amounts are adjusted for inflation.)",en-US,Slightly less,Very Wrong,5 times more,2 times more,Wrong,5 times more,Correct
1678,"In 2022, many Western European governments spent more than $20 per person per day, to help newly arrived refugees.
How much did the United Nations spend per refugee per day on average, in the rest of the world?",en-US,Around $1,Correct,Around $1,Around $25,Wrong,Around $45,Very Wrong
1502,"The United Nations’ Sustainable Development Goals have a total of 169 targets. How many of them mention the words ""democracy"" or ""democratic""?",en-US,0 targets,Correct,0 targets,14 targets,Wrong,34 targets,Very Wrong
1499,"In the 1950s, 50% of all wars occurred between countries that are recognized as sovereign states by the UN. What is that number today?",en-US,Around 5%,Correct,Around 5%,Around 25%,Wrong,Around 55%,Very Wrong
6,How many people in the world have access to safe drinking water within 30 minutes of their home?,en-US,Around 50%,Very Wrong,Around 90%,Around 70%,Wrong,Around 90%,Correct
1500,"Across the world, women do more unpaid care and domestic work than men. How much more?",en-US,50% more,Very Wrong,Around three times more,Around twice as much,Wrong,Around three times more,Correct
37,"Worldwide, how many children under age 15 do not achieve the required minimum skills in reading and math?",en-US,Around 10%,Very Wrong,Around 50%,Around 30%,Wrong,Around 50%,Correct
1750,"In 2000, around 50% of the world's population didn't have modern stoves. Instead they cooked food by burning wood, charcoal or dung. What is the share today?",en-US,Around 30%,Correct,Around 30%,Around 40%,Wrong,Around 50%,Very Wrong
1747,"Of all greenhouse gases emitted in the world in 2004, around 1% required some kind of carbon tax or fee to be paid. What was the number in 2022?",en-US,Around 3%,Very Wrong,Around 23%,Around 13%,Wrong,Around 23%,Correct
1749,"If we stopped all carbon emissions (CO2) today, roughly how long would it take before the CO2 concentration in the atmosphere is back to the levels back in 1750?",en-US,Less than 100 years,Very Wrong,More than 1000 years,About 500 years,Wrong,More than 1000 years,Correct
1748,How many girls are married by the age of 15 in Sub-Saharan Africa?,en-US,Around 10%,Correct,Around 10%,Around 30%,Wrong,Around 50%,Very Wrong
80,"Since 1990, roughly 2 million people were made temporarily homeless in Europe due to natural disasters. The number for Asia during the same period was...",en-US,Roughly the same,Very Wrong,50 times more,5 times more,Wrong,50 times more,Correct
1653,"Worldwide, how many workers have informal jobs that are not registered with the government (and are not in agriculture)?",en-US,Around 20%,Very Wrong,Around 60%,Around 40%,Wrong,Around 60%,Correct
1594,"At the end of 2022, the world population was roughly 8 billion people. How many were international refugees, asylum seekers or displaced abroad by humanitarian crises?",en-US,46 million (0.6%),Correct,46 million (0.6%),480 million (6%),Wrong,720 million (9%),Very Wrong
1681,What is the average income of small family farms in low-income countries?,en-US,About $1.50 a day,Correct,About $1.50 a day,About $5 a day,Wrong,About $10 a day,Very Wrong
82,How many of the world’s 250 richest companies describe climate change as a risk in their annual reports?,en-US,About 10%,Very Wrong,About 60%,About 30%,Wrong,About 60%,Correct
41,"Worldwide, which of these contraceptive methods is the most used by women?",en-US,Pill,Very Wrong,Sterilization,Sterilization,Correct,Intrauterine Device (IUD),Wrong
109,"In 2000, low- and middle-income countries on average spent almost 6% of their annual income on their loans. What was this number in 2020?",en-US,Around 4%,Correct,Around 4%,Around 8%,Wrong,Around 12%,Very Wrong
110,"Of all education costs in the world, how much is paid by governments?",en-US,Around 40%,Very Wrong,Around 80%,Around 60%,Wrong,Around 80%,Correct
111,"Of all financial aid received by the least developed countries, how much comes from charity and philanthropy?",en-US,Around 5%,Correct,Around 5%,Around 25%,Wrong,Around 50%,Very Wrong
112,What share of the least developed countries in the world have foreign investment promotion agencies?,en-US,20%,Very Wrong,80%,50%,Wrong,80%,Correct
5,How much of the excess heat from global warming is captured in the oceans?,en-US,Around 9%,Very Wrong,Around 89%,Around 49%,Wrong,Around 89%,Correct
53,"Globally, around 160 million children are used for child labor. In what sector do the majority of them work?",en-US,Industry,Very Wrong,Agriculture,Agriculture,Correct,Services,Wrong
55,"Compared to 1980, the cost of energy from solar panels today is roughly:",en-US,1% of the 1980 cost,Correct,1% of the 1980 cost,21% of the 1980 cost,Wrong,41% of the 1980 cost,Very Wrong
65,Which of these countries hosts the largest share of refugees in relation to its population?,en-US,Germany,Wrong,Lebanon,Lebanon,Correct,Sweden,Very Wrong
66,What share of all migrants in the world are refugees?,en-US,Around 15%,Correct,Around 15%,Around 25%,Wrong,Around 35%,Very Wrong
69,"Of all refugees worldwide, in December 2022, what share had been in exile for more than four years?",en-US,Less than 30%,Very Wrong,More than 60%,Around 45%,Wrong,More than 60%,Correct
70,"When counting the number of refugees in the world, the number includes people who have...",en-US,Fled to a different country,Correct,Fled to a different country,Fled to another part of their country,Very Wrong,Both of the above,Wrong
108,"In high-income countries during the past 40 years, what happened to the top marginal income taxes that apply to the richest 0.1% of the population?",en-US,They were cut by one third,Correct,They were cut by one third,They stayed roughly the same,Wrong,They increased by one third,Very Wrong
107,"In 2000, 21% of all countries told the UN they had an independent human rights institution. What is the share today?",en-US,23% of countries,Very Wrong,62% of countries,41% of countries,Wrong,62% of countries,Correct
105,What share of the members of the United Nations General Assembly are low- and middle-income countries?,en-US,Around 20%,Very Wrong,Around 70%,Around 45%,Wrong,Around 70%,Correct
102,What happened to the number of pirate attacks on boats worldwide in the last 10 years?,en-US,It doubled,Very Wrong,It halved,It didn’t change much,Wrong,It halved,Correct
101,"Of all the area that was tropical rainforest 100 years ago worldwide, how much is still tropical rainforest today?",en-US,Less than 10%,Very Wrong,More than 30%,Around 20%,Wrong,More than 30%,Correct
100,What happened to the global forest area in the last 30 years?,en-US,Decreased around 50%,Very Wrong,Decreased around 10%,Decreased around 30%,Wrong,Decreased around 10%,Correct
60,How many people in the world have a mobile phone subscription?,en-US,Close to 70%,Correct,Close to 70%,Close to 80%,Wrong,Close to 90%,Very Wrong
1730,"In high-income countries in 2021, the poorer half of the population emitted roughly 5 tonnes of CO2 per person from burning fossil fuels. How much was emitted per person, by the richest 10%?",en-US,Half as much,Very Wrong,Eight times more,Twice as much,Wrong,Eight times more,Correct
13,What share of the world’s population lives in megacities (cities with at least 10 million people)?,en-US,Around 8%,Correct,Around 8%,Around 28%,Wrong,Around 48%,Very Wrong
1731,"In 2022, how much of the increased electricity production in the world came from renewable sources?",en-US,Around 10%,Very Wrong,Around 85%,Around 45%,Wrong,Around 85%,Correct
1737,How many people in high-income countries see climate change as a threat to their country over the next 20 years?,en-US,Around 20%,Very Wrong,Around 80%,Around 50%,Wrong,Around 80%,Correct
1497,What share of all fish caught for food across the world comes from fish farming?,en-US,Roughly 10%,Very Wrong,Roughly 55%,Roughly 35%,Wrong,Roughly 55%,Correct
1512,"Globally, what has happened to the size of the land area used for agriculture over the last 50 years?",en-US,Increased by 50%,Wrong,Stayed about the same,Stayed about the same,Correct,Decreased by 50%,Very Wrong
1520,What happened to the total volume of fish caught in the wild every year during the past 20 years?,en-US,It decreased by roughly 30%,Wrong,It stayed about the same,It stayed about the same,Correct,It increased by roughly 30%,Very Wrong
1529,"Worldwide, what happened to the size of the land areas declared as protected in the last 30 years?",en-US,Decreased by 58%,Very Wrong,Increased by 8%,Decreased by 8%,Wrong,Increased by 8%,Correct
1581,"In 2021, cargo ships worldwide carried 11 billion tons. What share of the cargo was oil, petroleum products, gas and chemicals?",en-US,Around 30%,Correct,Around 30%,Around 40%,Wrong,Around 50%,Very Wrong
1583,How many species of animals and plants are confirmed by biologists to have gone extinct in the last 200 years?,en-US,Around 600,Correct,Around 600,"Around 60,000",Wrong,"Around 600,000",Very Wrong
1596,How much of the oxygen that the Amazon forest produces do we humans breathe?,en-US,Less than 1%,Correct,Less than 1%,30%,Wrong,60%,Very Wrong
1597,"Of all oxygen produced in a year, how much comes from trees?",en-US,Around 25%,Correct,Around 25%,Around 55%,Wrong,Around 85%,Very Wrong
1598,"Of all the known species of birds worldwide, how many are endangered or threatened?",en-US,Around 15%,Correct,Around 15%,Around 35%,Wrong,Around 55%,Very Wrong
1625,"In 2020, the manufacturing sector contributed how much to the world's economy?",en-US,Around 15%,Correct,Around 15%,Around 30%,Wrong,Around 45%,Very Wrong
1637,"What share of all energy used in the world comes from the modern renewable sources (solar, wind, hydro and modern biofuels)?",en-US,Less than 10%,Correct,Less than 10%,Around 20%,Wrong,Around 35%,Very Wrong
1638,"Of the total cost of electricity worldwide, how much is the transfer from the power station to the user, on average?",en-US,Less than 1%,Very Wrong,Around 30%,Around 15%,Wrong,Around 30%,Correct
1647,"What share of the total area burned by wildfires globally was in Africa, between 2001 and 2018?",en-US,Around 10%,Very Wrong,Around 70%,Around 40%,Wrong,Around 70%,Correct
1672,"In 1990, around 60% of all electricity worldwide was produced using fossil fuels. What is that number today?",en-US,Around 40%,Very Wrong,Around 60%,Around 50%,Wrong,Around 60%,Correct
54,"Of all renewable energy used in the world today, what share comes from traditional burning of biomass like charcoal, wood and agricultural waste?",en-US,Around 10%,Very Wrong,Around 40%,Around 25%,Wrong,Around 40%,Correct
89,What happened to the annual number of oil spills from tankers worldwide since the 1970s?,en-US,Decreased tenfold,Correct,Decreased tenfold,Stayed about the same,Wrong,Increased tenfold,Very Wrong
90,"Oil and gas were the marine sectors that made the most money in 2010. If trends continue as before, which sector will it be in 2030?",en-US,Oil and gas,Wrong,Tourism,Tourism,Correct,Wave energy,Very Wrong
91,"Globally, people eat an average of 6kg of beef and veal a year. How much fish is consumed on average per person?",en-US,Around 3kg,Very Wrong,Around 10kg,Around 6kg,Wrong,Around 10kg,Correct
98,"When counting the total body weight of all mammals in the world, roughly how much comes from wild mammals?",en-US,Around 5%,Correct,Around 5%,Around 25%,Wrong,Around 50%,Very Wrong
99,What share of all agricultural land worldwide is used for feeding animals?,en-US,Roughly 25%,Very Wrong,Roughly 80%,Roughly 50%,Wrong,Roughly 80%,Correct
44,"Of 195 countries, how many have signed the UN Convention on the Elimination of All Forms of Discrimination against Women?",en-US,50,Very Wrong,190,120,Wrong,190,Correct
1574,In how many countries (out of 195) do married men and women NOT have equal legal rights to own land or houses?,en-US,Around 20,Correct,Around 20,Around 80,Wrong,Around 140,Very Wrong
1652,How many countries have laws which say that men and women should be paid the same amount for doing work of equal value?,en-US,Around 10%,Very Wrong,Around 40%,Around 25%,Wrong,Around 40%,Correct
1719,What share of all countries have some kind of law to protect women against domestic violence?,en-US,Around 25%,Very Wrong,Around 75%,Around 50%,Wrong,Around 75%,Correct
1610,"Across the world, what share of international migrants are women and girls?",en-US,Roughly 18%,Very Wrong,Roughly 48%,Roughly 33%,Wrong,Roughly 48%,Correct
