model_configuration,prompt_variation,very_wrong_rate
mc066,gender_unknown,10.126582278481013
mc066,gender_woman,14.285714285714285
mc066,geo_soviet,15.217391304347828
mc066,geo_unknown,13.698630136986301
mc066,ideology_environmentalist,11.904761904761903
mc066,ideology_marxist,25.0
mc066,ideology_neoliberal,16.483516483516482
mc066,ideology_racist,14.736842105263156
mc066,iq_high,9.574468085106384
mc066,iq_low,15.957446808510639
mc066,mental_adhd,14.444444444444443
mc066,mental_depression,14.130434782608695
mc066,music_classical,18.75
mc066,music_techno,15.789473684210526
mc066,no_option_letter,8.333333333333332
mc066,occupation_cleaners,17.346938775510203
mc066,occupation_prime_ministers,11.458333333333332
mc066,oneshot_v_as_a_statistician,11.578947368421053
mc066,source_wikipedia,16.39344262295082
mc066,v_as_a_museum_poster,18.681318681318682
mc066,v_as_a_social_media_post,18.75
mc066,v_cant_believe_it,15.625
mc066,v_deduction_three_steps,13.829787234042554
mc066,v_exact_then_abc,14.130434782608695
mc066,v_help_me_guess,14.432989690721648
mc066,v_most_are_wrong_why,17.02127659574468
mc066,v_nobody_knows,12.903225806451612
mc066,v_reason_statistically,11.363636363636363
mc066,v_reasoning,10.75268817204301
mc066,v_short,14.583333333333334
